max_length,max_batch_size
64,160
68,152
72,144
76,132
80,128
84,120
88,116
92,116
96,104
100,104
104,100
108,92
112,88
116,88
120,80
124,80
128,80
132,76
136,76
140,68
144,68
148,68
152,64
156,60
160,60
164,56
168,56
172,56
176,52
180,52
184,48
188,48
192,48
196,44
200,44
204,44
208,44
212,40
216,40
220,40
224,40
228,40
232,40
236,36
240,36
244,36
248,36
252,32
256,32
260,32
264,32
268,32
272,32
276,32
280,32
284,28
288,32
292,28
296,28
300,28
304,28
308,28
312,28
316,24
320,24
324,24
328,24
332,24
336,24
340,24
344,24
348,24
352,24
356,24
360,20
364,20
368,20
372,20
376,20
380,20
384,20
388,20
392,20
396,20
400,20
404,20
408,20
412,20
416,20
420,16
424,16
428,16
432,16
436,16
440,16
444,16
448,16
452,16
456,16
460,16
464,16
468,16
472,16
476,16
480,16
484,16
488,16
492,16
496,16
500,16
504,16
508,16
512,15
516,15
520,14
524,14
528,14
532,14
536,14
540,13
544,13
548,13
552,13
556,13
560,12
564,12
568,12
572,12
576,12
580,13
584,12
588,12
592,12
596,12
